ALDH1A1	00001	NP_000680.2	ALDH1A1	00001	NP_000680.2	in vivo;yeast 2-hybrid	12081471,16189514
SHC1	02780	NP_001123512.1	JAK2	00993	NP_004963.1	in vitro;in vivo	7535773,9126968
TEC	02786	NP_003206.2	JAK2	00993	NP_004963.1	in vivo	9473212
PTK2	02859	NP_005598.3	JAK2	00993	NP_004963.1	in vivo	9553131,10925297
GHR	02971	NP_000154.1	JAK2	00993	NP_004963.1	in vivo	7540178,10502458,8063815
LEPR	03001	NP_002294.2	JAK2	00993	NP_004963.1	in vitro	8608603
VCP	03013	NP_009057.1	JAK2	00993	NP_004963.1	in vitro;in vivo	11087817
TUB	03121	NP_003311.2	JAK2	00993	NP_004963.1	in vitro	10455176
PTK2B	03131	NP_004094.3	JAK2	00993	NP_004963.1	in vivo	11818507
JAK2	00993	NP_004963.1	CCR2	03166	NP_000638.1	in vitro;in vivo	9670957
CCR5	03223	NP_000570.1	JAK2	00993	NP_004963.1	in vivo	11591716
GSK3B	05418	NP_002084.2	PSEN1	00087	NP_000012.1	in vivo	11104755,16814287
JAK2	00993	NP_004963.1	STAT5A	03301	NP_003143.2	in vivo	9575217,8617237,7925280,11413148
GRB10	03312	NP_005302.3	JAK2	00993	NP_004963.1	in vitro;in vivo	9632636
IL12RB2	03383	NP_001550.1	JAK2	00993	NP_004963.1	in vivo	10198225
PPP2R5A	03384	NP_006234.1	JAK2	00993	NP_004963.1	in vitro	8702385
JAK2	00993	NP_004963.1	GTF2I	03399	NP_127492.1	in vitro;in vivo	9837922,9012831,11373296,11313464,11934902
OSMR	03446	NP_003990.1	JAK2	00993	NP_004963.1	in vivo	10586060
STAM	03542	NP_003464.1	JAK2	00993	NP_004963.1	in vivo	9133424
JAK2	00993	NP_004963.1	SIRPA	03912	NP_542970.1	in vivo	10842184
PPP2R1B	04384	NP_859050.1	JAK2	00993	NP_004963.1	in vivo	11440634
TSHR	04537	NP_000360.2	JAK2	00993	NP_004963.1	in vivo	10809230
UBQLN1	05440	NP_038466.2	PSEN1	00087	NP_000012.1	in vitro;in vivo;yeast 2-hybrid	11076969
SOCS1	04669	NP_003736.1	JAK2	00993	NP_004963.1	in vitro;in vivo;yeast 2-hybrid	11971965,10064597,9202126
PRMT5	04955	NP_006100.2	JAK2	00993	NP_004963.1	in vitro;yeast 2-hybrid	10531356
SOCS3	05006	NP_003946.3	JAK2	00993	NP_004963.1	in vitro;in vivo;yeast 2-hybrid	9344848,10421843
STAM2	05876	NP_005834.4	JAK2	00993	NP_004963.1	in vivo	10899310
HSPA8	07205	NP_006588.1	JAK2	00993	NP_004963.1	in vivo	11679576
JAK2	00993	NP_004963.1	STAP2	07430	NP_060190.2	in vivo	12540842
DNAJA3	09758	NP_005138.3	JAK2	00993	NP_004963.1	in vivo;yeast 2-hybrid	11679576
HTR2A	01638	NP_000612.1	RPS6KA3	02092	NP_004577.1	in vitro;in vivo;yeast 2-hybrid	16537434
ELP2	15443	NP_060725.1	JAK2	00993	NP_004963.1	in vivo	10954736
SH2B2	16097	NP_066189.3	JAK2	00993	NP_004963.1	in vitro	10872802
NCSTN	05584	NP_056146.1	PSEN1	00087	NP_000012.1	in vivo	10993067,12603837
IL23R	16249	NP_653302.2	JAK2	00993	NP_004963.1	in vitro;in vivo	12023369
UBASH3B	16463	NP_116262.2	JAK2	00993	NP_004963.1	in vitro;in vivo	12370296
JAK2	00993	NP_004963.1	SH2B1	12336	NP_056318.2	in vitro;in vivo	12551917,10757801,9343427
PIK3R1	01381	NP_852664.1	IL1R1	00994	NP_000868.1	in vitro	10373529,9360994
MYD88	03703	NP_002459.2	IL1R1	00994	NP_000868.1	in vitro	12659850
IL1RAP	04021	NP_002173.1	IL1R1	00994	NP_000868.1	in vitro;in vivo	9371760
IRAK2	04491	NP_001561.3	IL1R1	00994	NP_000868.1	in vitro;in vivo	9374458,12659850
SIGIRR	12018	NP_068577.2	IL1R1	00994	NP_000868.1	in vivo	12925853
TICAM2	16313	NP_067681.1	IL1R1	00994	NP_000868.1	in vitro	12721283
IL1F10	17144	NP_115945.4	IL1R1	00994	NP_000868.1	in vitro	11278614
RAB11A	05715	NP_004654.1	PSEN1	00087	NP_000012.1	in vivo;yeast 2-hybrid	10369872
IL1RAP	04021	NP_002173.1	IL1R2	00995	NP_004624.1	in vivo	9862719
IL2RG	02391	NP_000197.1	ICAM1	00996	NP_000192.2	in vivo	1976256
MSN	02399	NP_002435.1	ICAM1	00996	NP_000192.2	in vitro;in vivo	12082081
ITGB2	02506	NP_000202.2	ICAM1	00996	NP_000192.2	in vitro;in vivo	7642561,11279101
IL5RA	00998	NP_000555.2	IL5	00997	NP_000870.1	in vitro;in vivo	1732409,7721873,10880230
SDCBP	03741	NP_005616.2	IL5RA	00998	NP_000555.2	in vitro;in vivo;yeast 2-hybrid	11498591
UNC119	04927	NP_005139.1	IL5RA	00998	NP_000555.2	in vitro;in vivo;yeast 2-hybrid	12496276
SFRP1	09165	NP_003003.3	WNT2	00999	NP_003382.1	in vitro;in vivo	10347172
SRC	01819	NP_005408.1	IL6R	01000	NP_000556.1	in vitro	10462375
FBXW7	05888	NP_361014.1	PSEN1	00087	NP_000012.1	in vivo	12354302
IL6ST	02824	NP_002175.2	IL6R	01000	NP_000556.1	in vitro	2788034
WWP1	03811	NP_008944.1	IL6R	01000	NP_000556.1	in vitro	9169421
WWP2	03812	NP_008945.2	IL6R	01000	NP_000556.1	in vitro	9169421
MAGI1	04020	NP_001028229.1	IL6R	01000	NP_000556.1	in vitro	9169421
ERAP1	06015	NP_057526.3	IL6R	01000	NP_000556.1	in vivo	12748171
HTR2A	01638	NP_000612.1	NME3	03488	NP_002504.2	yeast 2-hybrid	16537434
SERPINA4	01004	NP_006206.2	KLK1	01003	NP_002248.1	in vitro	11016932,10862973
KLK1	01003	NP_002248.1	KNG1	01970	NP_001095886.1	in vitro	9276160,7492318,12492488
SERPINA5	03503	NP_000615.3	KLK1	01003	NP_002248.1	in vitro	9368023
KLK2	01006	NP_005542.1	SERPINA4	01004	NP_006206.2	in vitro	10991942
DLL1	05957	NP_005609.3	PSEN1	00087	NP_000012.1	in vitro	12794186
HTR2A	01638	NP_000612.1	NDUFB10	11958	NP_004539.1	yeast 2-hybrid	16537434
PCSK1	01201	NP_000430.3	IAPP	01005	NP_000406.1	in vitro;in vivo	3053705,8557106,11246872,10931181
PCSK2	01202	NP_002585.2	IAPP	01005	NP_000406.1	in vitro;in vivo	3053705,8557106,11246872,10931181
PDX1	02843	NP_000200.1	IAPP	01005	NP_000406.1	in vitro	9115263
RAMP1	05515	NP_005846.1	IAPP	01005	NP_000406.1	in vitro	10385705
COL25A1	09886	NP_942014.1	IAPP	01005	NP_000406.1	in vitro	15522881
HTR2A	01638	NP_000612.1	PPP5C	02805	NP_006238.1	yeast 2-hybrid	16537434
KLK2	01006	NP_005542.1	SERPINB6	01413	NP_004559.4	in vitro	10463585,11745444
APH1A	06360	AAH20590.1	PSEN1	00087	NP_000012.1	in vitro;in vivo	12297508,12471034
KLK2	01006	NP_005542.1	SERPINE1	01418	NP_000593.1	in vivo	10209959
KLK2	01006	NP_005542.1	SEMG1	01641	NP_002998.1	in vitro	10411640
KLK2	01006	NP_005542.1	SEMG2	01642	NP_002999.1	in vitro;in vivo	10411640
KLK2	01006	NP_005542.1	SERPINF2	02029	NP_000925.2	in vitro	9428387,9042371,9368023
KLK2	01006	NP_005542.1	AR	02437	NP_000035.2	in vitro	15542435
KLK2	01006	NP_005542.1	SERPINA5	03503	NP_000615.3	in vivo	9368023,10209959
KLK2	01006	NP_005542.1	POLR2A	08916	NP_000928.1	in vitro	15542435
PNN	04401	AAB48304.1	KRT19	01007	NP_002267.2	in vitro;yeast 2-hybrid	10809736
KRT14	01017	NP_000517.2	KRT5	01010	NP_000415.2	in vitro	8636216
APH1B	06361	NP_112591.2	PSEN1	00087	NP_000012.1	in vivo	12471034
KRT18	01020	NP_000215.1	KRT5	01010	NP_000415.2	in vivo	9786957
EVPL	03352	NP_001979.2	KRT5	01010	NP_000415.2	in vivo	8999895
PKP2	04177	NP_004563.2	KRT5	01010	NP_000415.2	in vitro	10852826
ALOX12B	04772	NP_001130.1	KRT5	01010	NP_000415.2	in vivo;yeast 2-hybrid	10727209
KRT13	01016	NP_705694.2	KRT7	01014	NP_005547.3	in vivo	11591653
KRT17	01019	NP_000413.1	KRT7	01014	NP_005547.3	in vivo	11591653
KRT27	17244	NP_853515.2	KRT7	01014	NP_005547.3	in vivo	11591653
KRT18	01020	NP_000215.1	KRT8	01015	NP_002264.1	in vivo	9630597
ANXA1	01060	NP_000691.1	KRT8	01015	NP_002264.1	in vivo	9459484
VASP	03415	NP_003361.1	ACTG1	00017	NP_001605.1	in vitro;in vivo	12372613
PSENEN	06362	NP_758844.1	PSEN1	00087	NP_000012.1	in vitro;in vivo	12198112,12639958
PLAT	01419	NP_000921.1	KRT8	01015	NP_002264.1	in vitro;in vivo	9988531
MAPK1	01496	NP_002736.3	KRT8	01015	NP_002264.1	in vitro;in vivo	11788583,11781324,9211903
MAPK14	02619	NP_001306.1	KRT8	01015	NP_002264.1	in vitro;in vivo	11788583,11781324,9211903
MAPK8	03100	NP_620637.1	KRT8	01015	NP_002264.1	in vitro;in vivo	11788583,11781324,9211903
PKD1	03203	NP_001009944.2	KRT8	01015	NP_002264.1	in vitro;in vivo;yeast 2-hybrid	11581269
MAPK3	03479	NP_002737.2	KRT8	01015	NP_002264.1	in vitro;in vivo	11788583,11781324,9211903,9054461
PKP1	03579	NP_000290.2	KRT8	01015	NP_002264.1	in vitro	10852826
PNN	04401	AAB48304.1	KRT8	01015	NP_002264.1	in vitro;yeast 2-hybrid	10809736
BYSL	04848	NP_004044.3	KRT8	01015	NP_002264.1	in vitro;yeast 2-hybrid	9560222
PKP1	03579	NP_000290.2	KRT14	01017	NP_000517.2	in vitro	10852826
YME1L1	06981	NP_647473.1	PSEN1	00087	NP_000012.1	yeast 2-hybrid	12214059
TRADD	04610	NP_003780.1	KRT14	01017	NP_000517.2	in vitro	11684708
HTR2A	01638	NP_000612.1	GLUL	00701	NP_002056.2	yeast 2-hybrid	16537434
PTPRN	03466	NP_002837.1	PTPRT	06690	NP_573400.3	in vitro;yeast 2-hybrid	16273344
CBL	01320	NP_005179.2	KRT18	01020	NP_000215.1	in vivo;yeast 2-hybrid	9367879
PRKCA	01498	NP_002728.1	KRT18	01020	NP_000215.1	in vitro	7523419,1374067
PRKCE	01500	NP_005391.1	KRT18	01020	NP_000215.1	in vitro	7523419,1374067,15368451
TNFRSF1B	01862	NP_001057.1	KRT18	01020	NP_000215.1	in vitro	10747083
RPS6KA3	02092	NP_004577.1	KRT18	01020	NP_000215.1	in vitro	7523419,1374067
MAPK14	02619	NP_001306.1	KRT18	01020	NP_000215.1	in vivo	11788583
SHC1	02780	NP_001123512.1	KRT18	01020	NP_000215.1	in vitro	12577067
BACE1	07255	NP_036236.1	PSEN1	00087	NP_000012.1	in vitro;in vivo;yeast 2-hybrid	12901838
YWHAZ	03183	NP_003397.1	KRT18	01020	NP_000215.1	in vivo	9524113,11917136
YWHAB	03184	NP_003395.1	KRT18	01020	NP_000215.1	in vivo	9524113
PKD1	03203	NP_001009944.2	KRT18	01020	NP_000215.1	in vitro;in vivo;yeast 2-hybrid	11581269
PKP2	04177	NP_004563.2	KRT18	01020	NP_000215.1	in vitro	10852826
PNN	04401	AAB48304.1	KRT18	01020	NP_000215.1	in vitro;yeast 2-hybrid	10809736
TRADD	04610	NP_003780.1	KRT18	01020	NP_000215.1	in vitro;in vivo	11684708
HERPUD1	07456	NP_055500.1	PSEN1	00087	NP_000012.1	in vivo	11799129
YWHAE	05457	NP_006752.1	KRT18	01020	NP_000215.1	in vivo	9524113
YWHAG	05639	NP_036611.2	KRT18	01020	NP_000215.1	in vivo	9524113
DEDD	06022	NP_127491.1	KRT18	01020	NP_000215.1	in vivo	12235123
CAMK2A	06532	NP_057065.2	KRT18	01020	NP_000215.1	in vitro	7523419,1374067
DNAJB6	07107	NP_490647.1	KRT18	01020	NP_000215.1	in vitro;in vivo;yeast 2-hybrid	10954706
USH2A	09759	NP_996816.2	KRT18	01020	NP_000215.1	in vitro;yeast 2-hybrid	276901
RHPN2	10192	NP_149094.3	KRT18	01020	NP_000215.1	in vitro;yeast 2-hybrid	12473120
KRT18	01020	NP_000215.1	HSPA1A	00774	NP_005336.3	in vitro	7529764
TCHP	14403	NP_115676.1	KRT5	01010	NP_000415.2	yeast 2-hybrid	15731015
AKT1	01261	NP_005154.2	KRT10	01021	NP_000412.3	in vivo	11585925
CTNND2	09181	NP_001323.1	PSEN1	00087	NP_000012.1	in vitro;in vivo;yeast 2-hybrid	9223106,10208590,10037471
PRKCZ	01504	NP_002735.3	KRT10	01021	NP_000412.3	in vivo	11585925
EVPL	03352	NP_001979.2	KRT10	01021	NP_000412.3	in vivo	8999895
FGFR2	01492	NP_075261.1	FGF7	01022	NP_002000.1	in vivo	7687739
DUSP3	02553	NP_004081.1	FGF7	01022	NP_002000.1	in vitro	1281549
TCHP	14403	NP_115676.1	KRT14	01017	NP_000517.2	yeast 2-hybrid	15731016
TCHP	14403	NP_115676.1	KRT6A	01011	NP_005545.1	yeast 2-hybrid	15731017
TCHP	14403	NP_115676.1	KRT16	01018	NP_005548.2	yeast 2-hybrid	15731018
DCTN1	07206	NP_004073.2	KIF11	01023	NP_004514.2	in vitro;in vivo;yeast 2-hybrid	9235942
HIST2H2BE	03494	NP_003519.1	LALBA	01024	NP_002280.1	in vitro	12888554
LDHA	01025	NP_005557.1	LDHA	01025	NP_005557.1	in vitro	11276087
METTL2B	09705	NP_060866.2	PSEN1	00087	NP_000012.1	yeast 2-hybrid	11738826
HNRNPD	03206	NP_112738.1	LDHA	01025	NP_005557.1	in vitro;in vivo	12107167
ABCC9	03258	NP_005682.2	LDHA	01025	NP_005557.1	in vivo	12145195
DYNLL1	03334	NP_003737.1	LDHA	01025	NP_005557.1	in vitro	14760703
KCNJ11	09022	NP_000516.3	LDHA	01025	NP_005557.1	in vivo	12145195
XRN1	10470	NP_061874.3	LDHA	01025	NP_005557.1	yeast 2-hybrid	15231747
DERL3	13139	NP_001129223.1	MFI2	01122	NP_005920.2	in vivo	16449191
DERL2	16796	NP_057125.2	MFI2	01122	NP_005920.2	in vivo	16449192
DERL3	13139	NP_001129223.1	SERPINA1	02463	NP_000286.3	in vivo	16449193
DERL2	16796	NP_057125.2	SERPINA1	02463	NP_000286.3	in vivo	16449194
LCN1	01059	NP_002288.1	LTF	01028	NP_002334.2	in vitro	10558865
DOCK3	10341	NP_004938.1	PSEN1	00087	NP_000012.1	in vitro;yeast 2-hybrid	10854253
LYZ	01085	NP_000230.1	LTF	01028	NP_002334.2	in vitro	9359845
CD14	01151	NP_000582.1	LTF	01028	NP_002334.2	in vitro	11083760
CEL	07509	NP_001798.2	LTF	01028	NP_002334.2	in vitro	3995055
MUC7	11759	NP_689504.2	LTF	01028	NP_002334.2	in vitro;in vivo	12766201
ITLN1	17165	NP_060095.2	LTF	01028	NP_002334.2	in vitro	11313366
LTF	01028	NP_002334.2	CALM1	00241	NP_008819.1	in vitro	1544444
DERL1	12302	NP_077271.1	MFI2	01122	NP_005920.2	in vivo	16449195
ABCA1	02501	NP_005493.2	MPDZ	09155	NP_003820.2	in vitro	16192269
LAMA5	03020	NP_005551.3	LAMC1	01030	NP_002284.3	in vitro	11133776
NID2	05654	NP_031387.3	LAMC1	01030	NP_002284.3	in vitro	9733643
MTCH1	14787	AAF12793.3	PSEN1	00087	NP_000012.1	in vitro;in vivo	10551805
ABCA1	02501	NP_005493.2	SNTB1	02490	NP_066301.1	in vitro;in vivo	16192270,16192292
LAMB3	01032	NP_000219.2	LAMC2	01031	NP_005553.2	in vivo	10964684
THBS1	01765	NP_003237.2	LAMB3	01032	NP_000219.2	in vivo;yeast 2-hybrid	9840442
LAMA3	02883	NP_937762.1	LAMB3	01032	NP_000219.2	in vitro	7775432
PLG	01417	NP_000292.1	LAMA1	01033	NP_005550.2	in vitro	8360181
PLAT	01419	NP_000921.1	LAMA1	01033	NP_005550.2	in vitro	8360181
ITGA1	01892	NP_852478.1	LAMA1	01033	NP_005550.2	in vitro	9688542
ITGA2	01893	NP_002194.2	LAMA1	01033	NP_005550.2	in vitro	9688542
MEP1A	02666	NP_005579.2	LAMA1	01033	NP_005550.2	in vitro	10620696
TMPRSS6	10270	NP_705837.1	LAMA1	01033	NP_005550.2	in vitro	12149247
FGD1	02373	NP_004454.2	ABP1	00088	NP_001082.2	in vitro;in vivo	12913069
ABCA1	02501	NP_005493.2	DLG3	02177	NP_066943.2	in vitro	16192271
LMNA	01035	CAA27173.1	LMNA	01035	CAA27173.1	in vivo;yeast 2-hybrid	11792809
LMNB1	01036	NP_005564.1	LMNA	01035	CAA27173.1	in vitro;yeast 2-hybrid	11792809
ALOX12	01066	NP_000688.2	LMNA	01035	CAA27173.1	yeast 2-hybrid	10727209
PRKCA	01498	NP_002728.1	LMNA	01035	CAA27173.1	in vitro;in vivo	12112001,7925482,8477740
RB1	01574	NP_000312.2	LMNA	01035	CAA27173.1	in vitro	8278403,8058329
SREBF1	01701	NP_001005291.1	LMNA	01035	CAA27173.1	in vitro;in vivo;yeast 2-hybrid	11929849
TMPO	01777	NP_003267.1	LMNA	01035	CAA27173.1	in vivo	10984438,12475961
EMD	02309	NP_000108.1	LMNA	01035	CAA27173.1	in vitro;in vivo	10673356,11173535
ZNF239	03044	NP_005665.2	LMNA	01035	CAA27173.1	in vitro;in vivo;yeast 2-hybrid	12409453
DNM2	03852	NP_001005360.1	ABP1	00088	NP_001082.2	in vitro;in vivo	12419186
CASP6	03321	NP_001217.2	LMNA	01035	CAA27173.1	in vitro;in vivo	8978814,11953316
ALOX12B	04772	NP_001130.1	LMNA	01035	CAA27173.1	in vitro;in vivo;yeast 2-hybrid	10727209
NARF	05637	NP_114174.1	LMNA	01035	CAA27173.1	in vitro;in vivo;yeast 2-hybrid	10514485
SYNE1	09762	NP_892006.2	LMNA	01035	CAA27173.1	in vitro;in vivo	11801724
TOR1AIP1	13958	NP_056417.2	LMNA	01035	CAA27173.1	in vitro	8324822
URB2	17178	NP_055592.1	LMNA	01035	CAA27173.1	in vitro	15265697
ABCA1	02501	NP_005493.2	ARHGEF11	09302	NP_937879.1	in vitro	16192272
ABCA1	02501	NP_005493.2	SNTA1	03009	NP_003089.1	in vitro	14722086,16192274
PRPH	01365	NP_006253.2	LMNB1	01036	NP_005564.1	in vitro	1986862
PRKCA	01498	NP_002728.1	LMNB1	01036	NP_005564.1	in vitro;in vivo	11901153,12135703
RERE	05566	NP_036234.3	CBFA2T2	04721	NP_005084.1	yeast 2-hybrid	16713569
DAO	15917	NP_001908.3	ABP1	00088	NP_001082.2	in vivo	8195119
PRKCB	01499	NP_002729.2	LMNB1	01036	NP_005564.1	in vivo	11901153,8034666
PRKCD	01501	NP_006245.2	LMNB1	01036	NP_005564.1	in vivo	11901153
TMPO	01777	NP_003267.1	LMNB1	01036	NP_005564.1	in vitro;yeast 2-hybrid	9490046
LBR	02488	NP_002287.2	LMNB1	01036	NP_005564.1	in vivo	12490158
CASP3	02799	NP_004337.2	LMNB1	01036	NP_005564.1	in vivo	11901153
PLEC1	03180	NP_958782.1	LMNB1	01036	NP_005564.1	in vitro	2023931
CASP6	03321	NP_001217.2	LMNB1	01036	NP_005564.1	in vitro;in vivo	11901153,11331782
TOR1AIP1	13958	NP_056417.2	LMNB1	01036	NP_005564.1	in vivo	9305626
URB2	17178	NP_055592.1	LMNB1	01036	NP_005564.1	in vitro	15265697
ABCA1	02501	NP_005493.2	ARHGEF12	09207	NP_056128.1	in vitro	16192274
ATN1	06311	NP_001931.2	KRT31	03047	NP_002268.2	yeast 2-hybrid	16713569
ABCA1	02501	NP_005493.2	LIN7C	17279	NP_060832.1	in vitro	16192275
LMNB2	01037	NP_116126.2	LMNB2	01037	NP_116126.2	in vitro	10835276
PRKCD	01501	NP_006245.2	LMNB2	01037	NP_116126.2	in vitro	1939065
LAMA2	01125	NP_000417.2	RPSA	01038	NP_002286.2	in vitro	11054877
CBX5	05131	NP_036249.1	RPSA	01038	NP_002286.2	in vivo	14730304
ABCA1	02501	NP_005493.2	DLG2	04663	NP_001136171.1	in vitro	16192276
TGM2	01825	NP_004604.2	LTBP1	01039	NP_996826.2	in vitro	9060478
PTPRC	01050	NP_002829.2	LGALS1	01040	NP_002296.1	in vitro;in vivo	10490978
CD7	01732	NP_006128.1	LGALS1	01040	NP_002296.1	in vitro;in vivo	10490978
CD8A	01737	NP_001759.3	LGALS1	01040	NP_002296.1	in vitro	10490978
ATN1	06311	NP_001931.2	LRP2	02509	NP_004516.2	yeast 2-hybrid	16713569
CD4	01740	NP_000607.1	LGALS1	01040	NP_002296.1	in vitro	10490978
CD2	01750	AAA51946.1	LGALS1	01040	NP_002296.1	in vitro	10642604
HRAS	01813	NP_005334.1	LGALS1	01040	NP_002296.1	in vitro;in vivo	11709720
LGALS3BP	02796	NP_005558.1	LGALS1	01040	NP_002296.1	in vitro;in vivo	11146440
VPREB1	05505	NP_009059.1	LGALS1	01040	NP_002296.1	in vitro;in vivo	12271131
SPN	06770	NP_003114.1	LGALS1	01040	NP_002296.1	in vitro;in vivo	10490978
GEMIN4	07370	NP_056536.2	LGALS1	01040	NP_002296.1	in vitro;in vivo;yeast 2-hybrid	11522829
MUC16	07548	NP_078966.2	LGALS1	01040	NP_002296.1	in vitro;in vivo	12615972
ABCA1	02501	NP_005493.2	LIN7B	10040	NP_071448.1	in vitro	16192277
ABCA1	02501	NP_005493.2	LIN7A	04542	NP_004655.1	in vitro	16192278,14722086
ATN1	06311	NP_001931.2	LTBP1	01039	NP_996826.2	yeast 2-hybrid	16713569
TNKS	04490	NP_003738.2	LNPEP	01041	NP_005566.2	in vitro;in vivo	10988299,11802774
FHOD1	06049	NP_037373.2	LNPEP	01041	NP_005566.2	in vitro;yeast 2-hybrid	12677009
ABCA1	02501	NP_005493.2	SHANK1	05413	NP_057232.2	in vitro	16192279
ABCA1	02501	NP_005493.2	DLG5	04972	NP_004738.3	in vitro	16192281
ABCA1	02501	NP_005493.2	PDZK1	04829	NP_002605.2	in vitro	16192282
EEF1G	11745	NP_001395.1	LARS	01042	NP_064502.9	in vitro;in vivo	11829477
ABCA1	02501	NP_005493.2	LIMK1	03210	NP_002305.1	in vitro	16192283
ABCA1	02501	NP_005493.2	GOPC	06024	NP_065132.1	in vitro	16192284
FOS	01275	NP_005243.1	RUNX1	01043	NP_001745.2	in vivo	11641401
JUN	01302	NP_002219.1	RUNX1	01043	NP_001745.2	in vitro	11274169
SLC7A8	11971	NP_036376.2	SLC3A1	00090	NP_000332.2	in vivo	10574970
PAX5	01334	NP_057953.1	RUNX1	01043	NP_001745.2	in vitro	10455134
CEBPB	01801	NP_005185.2	RUNX1	01043	NP_001745.2	in vitro	8622667
SUV39H1	02221	NP_003164.1	RUNX1	01043	NP_001745.2	in vitro;in vivo	12917624
TAZ	02316	NP_000107.1	RUNX1	01043	NP_001745.2	in vitro;in vivo	11118213
TLE1	02557	NP_005068.2	RUNX1	01043	NP_001745.2	in vitro;in vivo;yeast 2-hybrid	9751710
TLE2	03025	NP_003251.2	RUNX1	01043	NP_001745.2	in vivo	10825294
CBFA2T2	04721	NP_005084.1	RUNX1	01043	NP_001745.2	in vitro	10675041
CBFA2T3	04847	NP_005178.4	RUNX1	01043	NP_001745.2	in vivo	14703694
ABCA1	02501	NP_005493.2	LMO7	05078	NP_056667.2	in vitro	16192285
ELF4	06499	NP_001412.1	RUNX1	01043	NP_001745.2	in vitro;in vivo	10207087
MMP9	00387	NP_004985.2	AREG	00093	NP_001648.1	in vivo	10389762
MYST4	07065	NP_036462.2	RUNX1	01043	NP_001745.2	in vivo	11965546
YAP1	09424	NP_001123617.1	RUNX1	01043	NP_001745.2	in vitro;in vivo;yeast 2-hybrid	10228168
ELF2	16856	NP_973728.1	RUNX1	01043	NP_001745.2	in vitro;in vivo	14970218
ABCA1	02501	NP_005493.2	PDLIM4	04571	NP_003678.2	in vitro	16192286
BCR	01044	NP_004318.3	MLLT4	01164	NP_001035090.1	in vitro;yeast 2-hybrid	12808105
VAV1	01284	NP_005419.2	BCR	01044	NP_004318.3	in vitro;in vivo;yeast 2-hybrid	11790798
PTPN11	01470	NP_002825.3	BCR	01044	NP_004318.3	in vivo	12115002
PTPN6	01475	NP_536859.1	BCR	01044	NP_004318.3	in vivo	9211920
PTPN1	01477	NP_002818.1	BCR	01044	NP_004318.3	in vitro;in vivo	9566916
ABL1	01809	NP_009297.2	BCR	01044	NP_004318.3	in vitro;in vivo	11780146
CCND3	00452	NP_001751.1	AREG	00093	NP_001648.1	in vivo	11469683
FES	01814	NP_001996.1	BCR	01044	NP_004318.3	in vitro;in vivo	7529874,8955135
BLK	01866	NP_001706.2	BCR	01044	NP_004318.3	in vivo	8756631
SHC1	02780	NP_001123512.1	BCR	01044	NP_004318.3	in vitro	9209414
YWHAZ	03183	NP_003397.1	BCR	01044	NP_004318.3	in vitro	7939633,16045749
GRB10	03312	NP_005302.3	BCR	01044	NP_004318.3	in vitro;in vivo	9747873
ABCA1	02501	NP_005493.2	TIAM1	02820	NP_003244.2	in vitro	16192287
MAP4K5	05374	NP_006566.2	BCR	01044	NP_004318.3	in vivo	9949177
PTPRN	03466	NP_002837.1	PPIA	00457	NP_066953.1	in vitro	16273344
BCL2	01045	NP_000624.2	BCL2	01045	NP_000624.2	in vitro;in vivo;yeast 2-hybrid	15302859,9111042,9463381
RAF1	01265	NP_002871.1	BCL2	01045	NP_000624.2	in vitro;in vivo	8929532,8910675
EGFR	00579	NP_005219.2	AREG	00093	NP_001648.1	in vivo	10085134
NRAS	01273	NP_002515.1	BCL2	01045	NP_000624.2	in vivo	10490827
RRAS	01299	NP_006261.1	BCL2	01045	NP_000624.2	in vivo;yeast 2-hybrid	8232588
PARP1	01435	NP_001609.2	BCL2	01045	NP_000624.2	in vitro;in vivo	11790116
MAPK1	01496	NP_002736.3	BCL2	01045	NP_000624.2	in vivo	15225643,10567572,12039864
PRKCA	01498	NP_002728.1	BCL2	01045	NP_000624.2	in vivo	9738012
HRAS	01813	NP_005334.1	BCL2	01045	NP_000624.2	in vivo	10490827
KRAS	01817	NP_203524.1	BCL2	01045	NP_000624.2	in vivo	10490827
TP53	01859	NP_000537.3	BCL2	01045	NP_000624.2	in vitro;in vivo	12667443
BLK	01866	NP_001706.2	BCL2	01045	NP_000624.2	in vivo	9525867
WT1	06163	NP_077744.3	AREG	00093	NP_001648.1	in vitro;in vivo	10490105
BCAP31	02319	NP_001132929.1	BCL2	01045	NP_000624.2	in vitro;in vivo	9334338
BCL2L1	02497	NP_612815.1	BCL2	01045	NP_000624.2	in vitro	11583631
BAX	02498	NP_004315.1	BCL2	01045	NP_000624.2	in vitro;in vivo;yeast 2-hybrid	9111042,8358790,9463381,16642033,17097560,15231068
SMN1	02646	NP_000335.1	BCL2	01045	NP_000624.2	in vitro;yeast 2-hybrid	9389483
BAK1	02744	NP_001179.1	BCL2	01045	NP_000624.2	in vitro;in vivo	11728179,9463381,11206074
CASP3	02799	NP_004337.2	BCL2	01045	NP_000624.2	in vitro;in vivo	11948397,9395403
PIN1	03031	NP_006212.1	BCL2	01045	NP_000624.2	in vivo	11988841
MAPK8	03100	NP_620637.1	BCL2	01045	NP_000624.2	in vivo	10567572,12039864,15225643
BAG1	03292	NP_004314.4	BCL2	01045	NP_000624.2	in vitro	9305631
SF1	03306	NP_004621.2	BCL2	01045	NP_000624.2	in vitro	8668206
GP2	04279	NP_001007241.2	AMY2A	00094	NP_000690.1	in vitro	1284286
